Document,Topic,Auto_Label,Descriptive_Label,Probability
"The determination of a correlate of protection (CoP) by a vaccine is often critical to its development, as its measurement permits a number of both theoretical and practical extrapola- tions. Aside from the intellectual interest in identifying the immune response that is protective, knowledge of a CoP permits measurement of consistent lot potency of a vaccine and differentiation of susceptible from immune individuals. If an infection is uncommon or deadly, such that an efficacy trial is not feasible or ethical, a CoP may yet enable licensure of a vaccine, and once established, a CoP will allow bridging from one vaccine preparation to another.",17,Vaccine,Vaccine – Protection,1.0
"Last, and importantly, there are cocorrelates, meaning that more than one immune function induced by a vaccine correlates with protection in an additive or synergistic way.",1,Vaccination,Vaccination,0.6117341896292453
"in vaccine development, which is the ideal circumstance in that it makes later vaccine development easier, but sometimes a Phase III trial analysis is necessary to identify the CoP. In the latter case, immune responses of vaccine failures are compared with a sample of subjects who did not become infected. Ideally, the immune responses would be measured at the time of exposure to the infection, but most often samples are avail- able only immediately after vaccination.",21,Vaccine,Vaccine – Immune,1.0
"rounding vaccination, but the point to bear in mind regarding CoP is that many different functions may serve as a CoP.",-1,Noise / Outlier,Noise / Outlier,0.0
"In addition, the reader is directed to chapters on specific vaccines for more extended analysis of each case.",5,Vaccine,Vaccine – Populations,0.5240039880291159
Principle 2: The Mechanism of Protection by Vaccination Is Not Necessarily the Same Mechanism as Recovery From Infection,1,Vaccination,Vaccination,1.0
"Vaccination against poliomyelitis is usually highly effective in the prevention of paralysis, as stated above, because of the induction of serum antibody. A study challenged subjects previously given live vaccine and killed vaccine with two different doses of the oral live vaccine: 800 or 600,000 TCID50 (median tissue culture infective dose). The live vaccine recipients were infected by the low-dose challenge 3% of the time and by the high-dose challenge 15% of the time, whereas 30% of the killed vaccine recipients could be infected by a low dose and 70% by a high dose, indicating that high challenge doses can overcome intestinal immunity.14",6,Vaccine,Vaccine – Vaccination – T6,0.8046099080080179
"Another challenge study involved an experimental cyto- megalovirus vaccine. The vaccine prevented infection by 100 PFU of the challenge virus, but not by 1000 PFU.15",14,Cytomegalovirus,Cytomegalovirus,1.0
"Table 3.2 lists the commonly used licensed vaccines and their predominant mechanisms for causing disease. Only in the cases of zoster and tuberculosis vaccines does it appear that antibodies are not the primary mecha- nism of control, but that stimulation of specific T-cell subsets correlate with protection.16 Aside from these theoret- Indeed, the efficacy of hepatitis A vaccine was pre- dictable from the fact that induced antibody levels are a thousand times higher than those shown to protect after administration of gamma globulin.17 As mentioned under Principle 1, higher levels of antibody are necessary to prevent mucosal colonization than disease, as for example, in the case of pharyngeal colonization after Haemophilus influenzae type b vaccine.18",7,Vaccines,Vaccines – Antibodies,1.0
"Although high levels of antibodies are more protective than lower levels, after some vaccines breakthroughs may occur at high levels, even if less frequently than at lower levels. At an anti-HA (hemagglutinin) titer of 1/40, generally thought to be an acceptable response, only approximately 50% of vaccine recipients are protected; even at titers four times higher, breakthrough infections occur.19 Similarly, high levels of pertussis antitoxin after immunization was related to protection both in household exposures and nonhousehold exposures, but mild disease occurred at inter- mediate levels of antibody.",7,Vaccines,Vaccines – Antibodies,1.0
