Document,Topic,Auto_Label,Descriptive_Label,Probability
Passive Immunization,36,Technology,Technology,1.0
Mark K. Slifka and Ian J. Amanna,-1,Noise / Outlier,Noise / Outlier,0.0
"Passive immunization, passive immunity, and passive immu- notherapy all refer to the transfer of antibodies to an unpro- tected individual for the prevention or treatment of disease. The first formal demonstration of passive immunization for successfully treating diphtheria and tetanus dates back to animal studies published in Deutsche Medizinische Wochen- schrift (German Medical Journal) in 1890.1 The technique was quickly adapted to clinical use and as early as the mid-1890s, diphtheria-specific antitoxin was used successfully in the hos- pital setting to reduce mortality during diphtheria outbreaks.2–4 Indeed, in 1901 Emil von Behring was awarded the first Nobel Prize for Physiology or Medicine for the discovery of this important medical intervention.5 The significance of this clini- cal advance cannot be overstated; Behring estimated that 45,000 lives were saved each year using diphtheria-specific passive immunotherapy in Germany alone.6 In the 1890s, the mortality rate of hospitalized cases ranged from 47% to 60%,7 and the work of Emil von Behring and his colleague, Shibasa- buro Kitasato, provided the only hope for diphtheria patients in the preantibiotic era.",44,Immunization,Immunization,1.0
"According to Behring, the discovery of passive immuniza-",-1,Noise / Outlier,Noise / Outlier,0.0
"tion would not have occurred if it were not for his earlier work that focused on characterizing the protective mechanisms of active immunization against diphtheria5,8 and through the work of his collaborator, Kitasato, on the mechanisms of vaccine-mediated immunity against tetanus.1 When guinea pigs were infected with Corynebacterium diphtheriae, the animals routinely died of the disease. However, when Behring vacci- nated animals and they mounted neutralizing antibodies to diphtheria toxin, he found that they were protected from a normally lethal dose of C. diphtheriae. To determine if protec- tion was now an intrinsic property of the immune host that could be transferred to a susceptible host, he injected naïve guinea pigs with diphtheria toxin and then successfully treated them with immune serum from vaccinated animals. Likewise, injection of Clostridium tetani or purified tetanus toxin was typically lethal, but through a method developed by Paul Ehrlich,5 animals could eventually become immune to high doses of tetanus toxin by sequentially inoculating them with lower, nonlethal doses of tetanus toxin. Kitasato used this approach to demonstrate that the blood of vaccinated, tetanus- immune rabbits could be transferred to naïve mice and fully protect them from a normally lethal dose of virulent C. tetani or from filtered C. tetani culture supernatant containing tetanus toxin.1 Behring and Kitasato may have said it best in the final sentence of their landmark 1890 study, “The result of our experiments remind us forcibly of these words: Blut ist ein ganz besonderer Saft [blood is a very unusual fluid].”1",44,Immunization,Immunization,1.0
Technology has advanced substantially in the more than,36,Technology,Technology,0.5938099224560407
"125 years since Behring and Kitasato’s first formal demonstra- tion of protective passive immunotherapy.1 In those early days, it was infeasible to use human immune serum to treat diphtheria, so the first large-scale production of polyclonal diphtheria-immune serum was prepared by vaccinating dairy cows.5 To this day, commercial antisera used to treat a broad range of toxins are still produced in animals (Table 8.1). Passive immunotherapy with animal-derived antibody prepa- rations should only be used under close medical supervision9 or the resulting host immune response to the foreign",44,Immunization,Immunization,0.8393811821211935
84,33,1932,1932,0.2912783140193796
"immunoglobulins and serum proteins may trigger serum sick- ness, urticaria, and/or anaphylaxis following administration. Fortunately, the advent of several innovative technologies that reduce the need for animal-derived antibodies have forged new paths in terms of safety, feasibility, and the protective efficacy afforded by passive immunization. Following the discovery of monoclonal antibody technology,10,11 further refinements have been made, including use of various display techniques (e.g., phage display, yeast display) to screen large antibody librar- ies.12 Other technological advances include the development of chimeric monoclonal antibodies in which the murine anti- body is “humanized” by genetically replacing the heavy chain region of the molecule with the human immunoglobulin counterpart and the use of transgenic mice in which the endog- enous murine immunoglobulin genes have been replaced by human immunoglobulin genes.12 This latter approach has the advantage that hybridomas from immunized transgenic mice produce fully human monoclonal antibodies without requir- ing further genetic modifications. Recently, development of Epstein-Barr virus (EBV)-transformed human memory B cells for the production of monoclonal antibodies has led to yet another surge in the production of new human monoclonal antibodies with rare antigenic specificities to uncommon pathogens and these can be produced directly from immune human subjects.12,13 Before the era of antibiotics, antibody- based therapy was the only option available for combating many bacterial diseases. Even today, there are only a handful of antiviral drugs available and no therapeutic options exist for most viral diseases. However, new antibody-based thera- pies are continuing to be developed with the potential to provide protection against a broad array of bacterial and viral pathogens. In this chapter, we describe the role of passive immunity in the protection of the naïve host, discuss the parameters involved with successful immunotherapy, and provide examples of protective efficacy in animal models as well as in human clinical studies.",1,Antibody,Antibody – Immunotherapy,1.0
MATERNAL ANTIBODIES: THE ORIGINAL PASSIVE IMMUNOTHERAPY,67,Antibodies,Antibodies – Immunoglobulin,1.0
