Document,Topic,Auto_Label,Descriptive_Label,Probability
"Adjuvants are substances that are added to vaccine antigens to enhance and modulate the immunogenicity of the antigen. The first adjuvants developed focused on increasing antibody responses, and this has often been sufficient for the vaccines considered. During the last 2 decades, however, it has been realized that simply increasing antibody responses is not always sufficient for candidate vaccines to be effective.",0,Vaccines,Vaccines – Adjuvants,1.0
"enhance specific arms of the immune response such as cell- mediated immunity (CMI), a critical target for many of the remaining infectious diseases for which we do not have vaccines.",0,Vaccines,Vaccines – Adjuvants,1.0
"They have not yet been required for live attenuated vaccines, which carry the necessary immune- stimulating signals themselves. As discussed later, however, some preliminary research suggests that adjuvants can have an effect on live vaccines as well.",0,Vaccines,Vaccines – Adjuvants,1.0
"Alum was used there- after as an adjuvant for numerous human vaccines, and to this",2,Antigens,Antigens,1.0
"day, other aluminum salts, in the form of aluminum oxyhy- droxide or hydroxyphosphate, are the most widely used adju- vants in human vaccines. The starch and fish oils shown by Ramon to act as adjuvants have, in recent decades, been tested in vaccines in the form of inulin and squalene, respectively.",2,Antigens,Antigens,0.9869437481481699
"In the 1940s, Jules Freund developed a water-in-oil emul- sion, the Freund adjuvant, in which the vaccine antigen is emulsified as water droplets in a continuous mineral oil phase, containing killed mycobacterium (Freund complete adjuvant) or not (Freund incomplete adjuvant). The latter was briefly used for a commercial influenza vaccine in the United Kingdom in the 1960s, but was soon withdrawn owing to unacceptable reactogenicity.",4,Influenza,Influenza – Freund,1.0
"However, a water-in-oil emulsion similar in structure to the Freund adjuvant has been introduced in a cancer vaccine, using mineral oil with a higher degree of purity that allows for use in human vaccine candidates.",4,Influenza,Influenza – Freund,1.0
"Several licensed vaccines contain virosomes, which are recon- stituted empty envelopes of influenza viruses similar in struc- ture to liposomes.",10,Vaccine,Vaccine – Virosomes,1.0
"Approximately 30 years later, in 2009, the molecule mono- phosphoryl lipid (MPL) A was the first new adjuvant in a vaccine (Cervarix vaccine against human papillomavirus",3,Hemocyanin,Hemocyanin,1.0
"The level of knowledge associated with the mechanism of action of those specific molecules and, as a consequence, the pattern of cytokines induced should also allow an assessment of the impact of an adjuvant on the safety of a vaccine.",0,Vaccines,Vaccines – Adjuvants,1.0
This section is limited to a review of the types of adjuvants that are incorporated in licensed vaccine formulations or for which there is extensive clinical experience.,0,Vaccines,Vaccines – Adjuvants,1.0
Currently 10 adjuvants are approved for use in vaccines,0,Vaccines,Vaccines – Adjuvants,1.0
"Table 6.2 lists the approved vaccines containing these adjuvants. Numerous other adjuvants are in vaccines that are under development. Noteworthy, AS01, the combination of liposome, MPL and QS21, will most likely be the next new adjuvant present in a licensed vaccine, in this case the malaria RTS,S vaccine.",15,Vaccines,Vaccines – Adjuvant,1.0
