Document,Topic,Auto_Label,Descriptive_Label,Probability
Vaccine Manufacturing,1,Vaccines,Vaccines – Manufacture,1.0
Phillip L. Gomez and James M. Robinson,2,Bioprocess,Bioprocess,0.9933145450603246
"The vast majority of the more than 1 billion doses of vaccines manufactured worldwide each year are given to perfectly healthy people.1–4 It is this fact that drives the requirements for vaccines to be among the most rigorously designed, moni- tored, and compliant products manufactured today. The ability to manufacture these vaccines safely and consistently is built on four competencies:",1,Vaccines,Vaccines – Manufacture,1.0
The manufacturing process that defines how the product is made;,16,Manufacturing,Manufacturing,1.0
The compliance of the organization to successfully com- plete that process;,-1,Noise / Outlier,Noise / Outlier,0.0
The testing of the product and supporting operations; and,5,Flexibility,Flexibility,0.5175009161606592
The regulatory authorization to release and distribute the product.,26,Ship,Ship,1.0
"This chapter examines how each of these components is established during the development of a new vaccine and how the field of vaccine manufacturing is responding to emerging challenges for increased capacity (e.g., pandemic influenza vaccine), increased safety assurance (e.g., barrier isolator filling), and increasing complexities of manufacture (e.g., con- jugate vaccines). All of this must be accomplished while con- sistently delivering more than 1 billion doses annually at the relatively low cost of similar therapeutic products.",1,Vaccines,Vaccines – Manufacture,1.0
"In the United States, vaccines are regulated as biological products. The U.S. Food and Drug Administration’s (FDA) Center for Biologics Evaluation and Research (CBER) is respon- sible for regulating vaccines. Current authority for the regula- tion of vaccines resides primarily in Section 351 of the Public Health Service Act and specific sections of the Federal Food, Drug and Cosmetic Act.5,6 Section 351 of the Public Health Service Act gives the federal government the authority to license biological products and the establishments where they are produced.7 Vaccines undergo a rigorous review of labora- tory, nonclinical, and clinical data to ensure safety, efficacy, purity, and potency. Vaccines approved for marketing may also be required to undergo additional studies to further evaluate the vaccine and often to address specific questions about the vaccine’s safety, effectiveness, or possible side effects.8",22,Vaccines,Vaccines – Regulated,1.0
"In the European Union, animal and human vaccines",-1,Noise / Outlier,Noise / Outlier,0.0
"are regulated by the European Medicines Agency (EMA), whose main responsibility is the promotion of public and animal health. The EMA’s Committee on Medicinal Products for Human Use through its Vaccine Working Party has over- sight for human vaccines. Vaccines are licensed through a centralized procedure that allows for simultaneous licensure within all countries within the European Union. Human vac- cines manufacturing is regulated under a Good Manufactur- ing Practices (GMP) Directive 200/94/EEC, Annex 16, and Annex 2.",14,Vaccines,Vaccines – Licensing,1.0
Harmonization of licensing and regulating procedures for vaccines worldwide has obvious benefits in rapidly delivering safe and effective vaccines to the market. Impediments to harmonization include lack of standardized regulatory proce- dures and mutual recognition of licenses and inspections between countries and worldwide regulatory agencies. Har- monization of regulation continues to progress as joint FDA-EMA establishment inspections programs have become a,14,Vaccines,Vaccines – Licensing,1.0
reality and adherence to International Conference on Har- monisation (ICH) guidance is expected.,-1,Noise / Outlier,Noise / Outlier,0.0
New vaccines are subjected to a well-defined regulatory process for approval. The approval process consists of four principal elements:,14,Vaccines,Vaccines – Licensing,0.9775160052549438
Preparation of preclinical materials for proof-of-concept testing in animal models; manufacture of clinical materials according to current GMP; and toxicology analysis in an appropriate animal system.,9,Drug,Drug,0.48980285961076525
Submission of an investigational new drug (IND) applica- tion for submission to FDA for review.,9,Drug,Drug,1.0
