Document,Topic,Auto_Label,Descriptive_Label,Probability
Vaccine Immunology,27,Microneedle,Microneedle,1.0
"To generate vaccine-mediated protection is a complex chal- lenge. Currently available vaccines have largely been devel- oped empirically, with little or no understanding of how they activate the immune system. However, there is more to antibody- mediated protection than the peak of vaccine-induced antibody titers. Long-term protection requires the persistence of vaccine antibodies above protective thresholds and/or the maintenance of immune memory cells capable of rapid and effective reactivation with subsequent microbial exposure. The determinants of immune memory induction, as well as the relative contribution of persisting antibodies and of immune memory to protection against spe- cific diseases, are essential parameters of long-term vaccine efficacy.",19,Vaccines,Vaccines – Protection,1.0
"vaccines should not overshadow the importance of T-cell responses: T cells are essential to the induction of high-affinity antibodies and immune memory, directly contribute to the protection conferred by current vaccines such as bacille Calmette-Guérin (BCG), may play a more critical role than previously anticipated for specific diseases like pertussis, and will be the prime effectors against novel vaccine targets with predominant intracellular localization such as tuberculosis.",20,Vaccination,Vaccination,1.0
"New methods have emerged allowing the assessment of a growing number of vaccine-associated immune parameters, including in humans. This development raises new questions about the optimal markers to assess and their correlation with vaccine-induced protection. The identification of mechanistic immune correlates—or at least surrogates—of vaccine efficacy is a major asset for the development of new vaccines or the optimization of immunization strategies using available vac- cines. During the last decade, the increased awareness of the complexity of the immune system and its determinants, including at the host genetic level, indicated that using system biology approaches to assess how various processes and networks interact in response to immunization could prove more illustrative than trying to isolate and char- acterize a few components of vaccine responses.1 Delineating the specific molecular signatures of vaccine immunogenicity is beginning to highlight novel correlates of protective immu- nity and better explain the heterogeneity of vaccine responses in a population. The tailoring of vaccine strategies for specific vulnerable populations, including very young, elderly, and immunosuppressed populations, also largely relies on a better understanding of what supports or limits vaccine efficacy under special circumstances—at the population and individ- ual levels. Lastly, the exponential development of new vaccines raises many questions that are not limited to the targeted diseases and the potential impacts of their prevention, but that address the specific and nonspecific impacts of such vaccines on the immune system and, thus, on health in general. These immune-related concerns have largely spread into the population, and questions related to the immunological safety of vaccines—that is, their capacity for triggering",1,Vaccines,Vaccines – Immune,0.9798463452938361
Certain “off-targets effects” of vaccines have also been recog- nized and call for studies to quantify their impact and identify the mechanisms at play.,1,Vaccines,Vaccines – Immune,1.0
"Vaccines protect by inducing effector mechanisms (cells or molecules) capable of rapidly controlling replicating patho- gens or inactivating their toxic components. Vaccine-induced immune effectors (Table 2.1) are essentially antibodies— produced by B lymphocytes—capable of binding specifically to a toxin or a pathogen.2 Other potential effectors are cyto- toxic CD8+ T lymphocytes that may limit the spread of infec- tious agents by recognizing and killing infected cells or secreting specific antiviral cytokines and CD4+ T-helper (Th) lymphocytes. A recently identified critical subset of vaccine-induced CD4+ Th cells are follicular T-helper (Tfh) cells: they are spe- cially equipped and positioned in the lymph nodes to support potent B-cell activation and differentiation into antibody- secreting-cells4 and were identified as directly controlling anti- body responses and mediating adjuvanticity.5–7 Another important subset are T-helper 17 (Th17) cells which essen- tially defend against extracellular bacteria that colonize the skin and mucosa, recruiting neutrophils and promoting local inflammation.8,9 These effectors are controlled by regulatory T cells (Tregs) involved in maintaining immune tolerance.10 Most antigens and vaccines trigger B- and T-cell responses, such that there is no rationale in opposing vaccines favoring antibody production (“humoral immunity”) and T-cell responses (“cellular immunity”).",9,Vaccine,Vaccine – Immune,0.5178344962999764
What Are the Main Effectors of Vaccine Responses?,1,Vaccines,Vaccines – Immune,1.0
The nature of the vaccine exerts a direct influence on the type of immune effectors that are elicited and that mediate protec- tive efficacy (Table 2.2).,1,Vaccines,Vaccines – Immune,1.0
"The conjugation of bacterial PS to a protein carrier (e.g., glyco- conjugate vaccines) provides foreign peptide antigens that are presented to the immune system and, thus, recruit",5,Vaccines,Vaccines – Conjugate,1.0
Aluminum salts are most often used in today’s vaccines.,27,Microneedle,Microneedle,1.0
A protein that is used as a template to which polysaccharide moieties are chemically conjugated to generate glycoconjugate vaccines.,5,Vaccines,Vaccines – Conjugate,1.0
"antigen-specific CD4+ Tfh cells in what is referred to as a T-dependent antibody response.13,14 A hallmark of T-dependent responses, which are also elicited by toxoid, protein, inacti- vated, or live attenuated viral vaccines (see Table 2.2), is to induce higher-affinity antibodies and immune memory. In addition, live attenuated vaccines usually generate CD8+ cyto- toxic T cells. The use of live vaccines/vectors or of specific novel delivery systems seems necessary for the induction of strong CD8+ T-cell responses. Most current vaccines mediate their protective efficacy through the induction of vaccine antibod- ies, whereas vaccine-induced CD4+ T cells contribute to mac-",9,Vaccine,Vaccine – Immune,0.5257579923750163
