Document,Topic,Auto_Label,Descriptive_Label,Probability
Vaccine Manufacturing,7,Vaccine,Vaccine – Competencies,0.7550054867167592
"The vast majority of the more than 1 billion doses of vaccines manufactured worldwide each year are given to perfectly healthy people.1–4 It is this fact that drives the requirements for vaccines to be among the most rigorously designed, moni- tored, and compliant products manufactured today. The ability to manufacture these vaccines safely and consistently is built on four competencies:",7,Vaccine,Vaccine – Competencies,0.7550895033703763
"This chapter examines how each of these components is established during the development of a new vaccine and how the field of vaccine manufacturing is responding to emerging challenges for increased capacity (e.g., pandemic influenza vaccine), increased safety assurance (e.g., barrier isolator filling), and increasing complexities of manufacture (e.g., con- jugate vaccines).",7,Vaccine,Vaccine – Competencies,1.0
"In the United States, vaccines are regulated as biological products. The U.S. Food and Drug Administration’s (FDA) Center for Biologics Evaluation and Research (CBER) is respon- sible for regulating vaccines. Current authority for the regula- tion of vaccines resides primarily in Section 351 of the Public Health Service Act and specific sections of the Federal Food, Drug and Cosmetic Act.5,6 Section 351 of the Public Health Service Act gives the federal government the authority to license biological products and the establishments where they are produced.7 Vaccines undergo a rigorous review of labora- tory, nonclinical, and clinical data to ensure safety, efficacy, purity, and potency. Vaccines approved for marketing may also be required to undergo additional studies to further evaluate the vaccine and often to address specific questions about the vaccine’s safety, effectiveness, or possible side effects.8",9,Vaccines,Vaccines – Regulated,1.0
"In the European Union, animal and human vaccines",-1,Noise / Outlier,Noise / Outlier,0.0
The EMA’s Committee on Medicinal Products for Human Use through its Vaccine Working Party has over- sight for human vaccines. Vaccines are licensed through a centralized procedure that allows for simultaneous licensure within all countries within the European Union.,11,Vaccines,Vaccines – Ema,1.0
Harmonization of licensing and regulating procedures for vaccines worldwide has obvious benefits in rapidly delivering safe and effective vaccines to the market.,11,Vaccines,Vaccines – Ema,1.0
New vaccines are subjected to a well-defined regulatory process for approval.,9,Vaccines,Vaccines – Regulated,0.5963496911653677
"This chapter outlines the basics of manufacturing a vaccine and a description of some examples of currently licensed products. It then moves to the regulatory requirements for vaccine manufacturing including current GMP compliance, and then discusses the development of new vaccines.",-1,Noise / Outlier,Noise / Outlier,0.0
"The manufacture of vaccines is composed of several basic steps that result in the finished product. Table 5.1 summa- rizes these steps with examples for pathogens that have a licensed vaccine. Vaccines under development use additional methods that will be discussed later. Viruses are grown in cells, which can be either primary cells, such as chicken fibroblasts (e.g., yellow fever vaccine), or continuous cell lines, such as MRC-5 (e.g., hepatitis A vaccine). The final vaccine is a direct func- tion of its starting materials, and a change in this seed can be as complicated as initiating a new product development altogether.",0,Vaccines,Vaccines – Viruses,1.0
"For vaccines that are composed of recombinant proteins, this step may involve many unit operations of column chromatography and ultrafiltration. For an inactivated viral vaccine, there may simply be inactivation of isolated virus with no further puri- fication. The formulation of the vaccine is designed to maxi- mize the stability of the vaccine while delivering it in a format that allows efficient distribution and preferred clinical delivery of the product. The formulated vaccine may include an adju- vant to enhance the immune response, stabilizers to prolong shelf life, and/or preservatives to allow multidose vials to be delivered.",4,Vaccines,Vaccines – Efficacy,0.757768176420795
constitute the final vaccine and uniformly mixing them in a single vessel (Fig. 5.1).,4,Vaccines,Vaccines – Efficacy,0.5894328481473824
"During this phase, individual, scrupulously cleaned, depy- rogenated, single-dose or multidose containers are filled with vaccine and sealed with sterile stoppers or plungers. If the vaccine is to be lyophilized, the vial stoppers are inserted only partially to allow moisture to escape during the lyophilization process, and the vials are moved to a lyophilization chamber. As with the formulation phase of the vaccine manufacturing operation, extensive control and monitoring of the environ- ment and critical surfaces are conducted during operations. Vaccine efficacy can be adversely affected by improper dis- tribution and storage conditions. The sensitivity of vaccines to",4,Vaccines,Vaccines – Efficacy,1.0
Automated vaccine formulation vessels.,4,Vaccines,Vaccines – Efficacy,0.43335091940201714
"Live attenu- ated vaccines tend to be more susceptible than inactivated vaccines and toxoids.1 Vaccines are formulated such that the potency at the end of shelf-life remains above the effective dose demonstrated in human clinical trials. This “overformulation” can represent a sig- nificant production yield loss and cost-of-goods increase for the final product in order to support the necessary lead times to deliver and store the vaccines, especially if they are used as a rotating stockpile to protect against supply interruption or an emergency use that does not materialize. The addition of stabilizers or lyophilization, when feasible, tends to improve the thermal resistance of vaccines.",4,Vaccines,Vaccines – Efficacy,0.9216523260293621
"cines have been detailed,9 the vaccine manufacturers are responsible for developing data before and after licensing that demonstrate the stability of their vaccines under recom- mended storage conditions for the claimed shelf life. Gener- ally, these programs provide data in excess of the claimed shelf life (up to 3 years) to support the development of new prod- ucts intended for clinical use, as well as routine support of currently marketed products, expiration date extension, and supporting distribution conditions.10,11 Accelerated studies conducted at elevated temperatures are commonly applied to better understand the impact of transient temperature excur- sions on the vaccine.",4,Vaccines,Vaccines – Efficacy,0.9216523260293621
"Currently, only a limited number of vaccines are required",-1,Noise / Outlier,Noise / Outlier,0.0
"by federal regulation to have specified shipping tempera- tures.10 Although most vaccine manufacturers use insulated containers and other precautions for the brief (usually 24 to 72 hours) shipping time, occasional, unanticipated tempera- ture excursions may occur that could have a detrimental impact on the shipped product. Before accepting any vaccine shipment, users should look for any evidence of improper transportation conditions, including excessive transport time and possible adverse ambient temperature conditions.1",4,Vaccines,Vaccines – Efficacy,1.0
EXAMPLES OF VACCINE PRODUCTION,0,Vaccines,Vaccines – Viruses,0.9326195534388511
Influenza virus vaccine for intramuscular use is a sterile sus- pension prepared from influenza viruses propagated in chicken embryos. This vaccine is the primary method for pre- venting influenza and its more severe complications.13,2,Vaccine,Vaccine – Influenza,1.0
