Document,Topic,Auto_Label,Descriptive_Label,Probability
"Recommendations for immunization practices are based on scientific knowledge of vaccine characteristics, biology of immunization, epidemiology of specific diseases, and host characteristics. General guidelines for immunization practices are based on evidence and expert opinion of benefits and risks of vaccinations as they apply to the current epidemi- ology of disease and use of vaccines in the United States.",0,Vaccine,Vaccine – Immunization,1.0
VACCINE STORAGE AND HANDLING,47,Vaccines,Vaccines – Storage,1.0
"Vaccines must be properly shipped, stored, and handled to avoid loss of their biologic activities. Recommended storage and handling requirements for each vaccine are given in each manufacturer’s product information.1 Correct shipping, storage, and handling practices also are published in recom- mendations of the major vaccine policymaking committees, such as the Advisory Committee on Immunization Practices (ACIP) of the Centers for Disease Control and Prevention (CDC), the Committee on Infectious Diseases of the American Academy of Pediatrics (AAP), and the World Health Organiza- tion (see Chapter 76).2–5 Failure to adhere to these require- ments can result in loss of vaccine potency, leading to an inadequate immune response in the vaccinee. Visible evidence of altered vaccine integrity may not be present. The state/local health department or the manufacturer should be contacted when questions arise about the correct handling of a vaccine. New vaccines or new formulations of an existing vaccine may have different shipping, storage, and handling requirements. The recommended storage practices for the most commonly used vaccines in the United States are described in the Vaccine Storage and Handling Toolkit.6",47,Vaccines,Vaccines – Storage,1.0
"usually most effective at maintaining the precise temperatures required for vaccine storage and are preferred to combination refrigerator/freezer units. This type of freezer unit is acceptable for storage of vaccines that must be stored in a frozen state (varicella, measles-mumps-rubella-varicella [MMRV], oral polio, zoster).",37,Freezer,Freezer,1.0
"Exposure to higher or lower temperatures than recom- mended can damage a vaccine. For example, live virus vac- cines, such as oral poliovirus vaccine (OPV), varicella, combination MMRV, and zoster vaccine, are sensitive to tem- peratures above freezing and should be kept frozen until just before administration. Measles-mumps-rubella (MMR without varicella) vaccine may be stored at either refrigerator or freezer temperature. Rotavirus vaccine and yellow fever vaccine should be stored at refrigerator temperature (2–8°C).3,7 Some vac- cines composed of purified antigens or inactivated microor- ganisms, such as hepatitis A, hepatitis B, Haemophilus influenzae",37,Freezer,Freezer,1.0
"Maintenance of a “cold chain” from vaccine produc- tion to use helps ensure vaccine potency at the time of administration. Temperature monitoring and control are important for storage and handling of all vaccines, particularly during transport and field use. Whereas maintenance of cold and freezing temperatures may be a problem in tropical climates, data suggest that inappropriate freezing of inactivated vaccines is a problem in maintaining vaccine stability in cold and temperate climates. Shipping con- tainers should be sturdy, the correct size for the amount of vaccine to be shipped, and contain a temperature monitor. Dry ice should not be used to transport frozen vaccine, because it might expose the vaccine to tem- peratures lower than recommended for storage.",37,Freezer,Freezer,1.0
Vaccines should not be reconstituted until immediately,-1,Noise / Outlier,Noise / Outlier,0.0
"If not administered within the interval recom- mended by the manufacturer, reconstituted vaccine should be discarded.5 Only the diluent provided by the manufacturer should be used to reconstitute a lyophilized vaccine. With the exception of OPV, live virus vaccines should not be refrozen after thawing.",-1,Noise / Outlier,Noise / Outlier,0.0
"Certain vaccines are distributed in multidose vials. When opened, the remaining doses from partially used multidose vials can be administered until the expiration date printed on the vial or vaccine packaging unless otherwise specified by the manufacturer, provided that the vial has been stored correctly and that the vaccine is not contaminated.5",-1,Noise / Outlier,Noise / Outlier,0.0
VACCINE ADMINISTRATION,39,Vaccine,Vaccine – Advisory,1.0
"Complete and accurate records documenting administration of all vaccines should be maintained by healthcare providers who administer vaccines and vaccine recipients (or their parents). For each immunization, the following information should be recorded: (a) date of vaccination; (b) product administered, manufacturer, lot number, and expiration date;",0,Vaccine,Vaccine – Immunization,1.0
"(c) site and route of administration; and (d) name, address, and title of healthcare provider administering the vaccine.",39,Vaccine,Vaccine – Advisory,1.0
"Infection resulting from administration of vaccines is unlikely if appropriate precautions are utilized. Hands should be washed with soap and water or cleansed with an alcohol- based waterless antiseptic hand rub before each patient contact to reduce the risk of bacterial contamination and transmission of microorganisms between vaccine recipients and healthcare personnel. In general, use of protective gloves is not necessary when administering vaccines unless the healthcare provider",0,Vaccine,Vaccine – Immunization,1.0
"Transmission of pathogens also can occur if needles, syringes, vaccines, or other equipment used to administer vaccines becomes contaminated.",0,Vaccine,Vaccine – Immunization,1.0
