Document,Topic,Auto_Label,Descriptive_Label,Probability
Correlates of Protection,-1,Noise / Outlier,Noise / Outlier,0.0
Stanley A. Plotkin and Peter Gilbert,5,Immune,Immune,0.7068791290351535
"The determination of a correlate of protection (CoP) by a vaccine is often critical to its development, as its measurement permits a number of both theoretical and practical extrapola- tions. Aside from the intellectual interest in identifying the immune response that is protective, knowledge of a CoP permits measurement of consistent lot potency of a vaccine and differentiation of susceptible from immune individuals. If an infection is uncommon or deadly, such that an efficacy trial is not feasible or ethical, a CoP may yet enable licensure of a vaccine, and once established, a CoP will allow bridging from one vaccine preparation to another.",19,Vaccine,Vaccine – Immune – T19,0.6257192927694882
"The terminology in this field is confusing, as various defini- tions have been published, but semantics are important and confusion will be avoided if the definitions used are under- stood. Table 3.1 gives the terminology used in this chapter, and is crucial to its understanding. Whereas a CoP is simply a variable immune response that is statistically associated with protection, the important distinction is between a mechanistic correlate of protection (mCoP) that is directly responsible for protection and a nonmechanistic correlate of protection (nCoP) that is easy to measure but which may only be a sub- stitute for an mCoP that is unknown or difficult to measure. In addition, a CoP may be absolute, in the sense that there is a threshold value above which protection is certain, or relative in the sense that higher values are quantitatively more protec- tive than lower values but there are occasional failures even at high levels and occasional protection at lower levels. Last, and importantly, there are cocorrelates, meaning that more than one immune function induced by a vaccine correlates with protection in an additive or synergistic way. The reader who wishes to learn more on this subject is referred to previously published articles.1–6",-1,Noise / Outlier,Noise / Outlier,0.0
The determination of a CoP is sometimes established early,9,Preimmunization,Preimmunization,1.0
"in vaccine development, which is the ideal circumstance in that it makes later vaccine development easier, but sometimes a Phase III trial analysis is necessary to identify the CoP. In the latter case, immune responses of vaccine failures are compared with a sample of subjects who did not become infected. Ideally, the immune responses would be measured at the time of exposure to the infection, but most often samples are avail- able only immediately after vaccination. Nevertheless, a useful CoP is often extracted from those data. Other ways in which CoP are inferred include definition of protective levels of passive antibody given parenterally or acquired by an infant from its mother through the placenta, observations made on vaccinated immunodeficient or immunosuppressed individu- als exposed to the infection, challenge of vaccinated volun- teers by the agent in question, and rarely by extrapolation from challenge of vaccinated animals. Human challenge models have often given critical information about CoP, and should be employed if the challenge is sufficiently attenuated to be ethically acceptable and if a broad range of immune responses are studied. Examples of human challenge that have yielded important information include influenza, cholera, dengue, and cytomegalovirus.",19,Vaccine,Vaccine – Immune – T19,1.0
Chapter 2 of this book describes the immunology sur-,4,Vaccines,Vaccines,0.6774620354092351
"rounding vaccination, but the point to bear in mind regarding CoP is that many different functions may serve as a CoP.",-1,Noise / Outlier,Noise / Outlier,0.0
"Serum and mucosal antibodies come in different isotypes and functionality, and T cells, whether CD4+ or CD8+, can act in a variety of ways, including direct action on infected cells, help to B or other T cells, secretion of cytokines, and even down- regulation of immune responses by T regulatory cells. This chapter seeks to simplify immunology in order to identify principles of protection, although the reader should keep in mind that the immune system is complex and redundant.3 In addition, the reader is directed to chapters on specific vaccines for more extended analysis of each case.",27,Immunity,Immunity,0.6029589604655399
PRINCIPLES OF PROTECTION,28,Memory,Memory,0.698287214363838
Principle 1: Protection Must Be Defined in Relation to Specific Phenomena,28,Memory,Memory,1.0
"Protection against infection may relate to different immune markers than protection against disease. Polio is an example in which paralysis can be prevented by serum antibodies, as the virus must pass from the pharynx or intestines to the central nervous system via blood, whereas infection is pre- vented by antibodies at the mucosal level, either locally pro- duced immunoglobulin (Ig) A antibodies or diffusion of IgG antibodies onto the mucosal surfaces of the nasopharynx and intestine. Another instructive example is pneumococcal infec- tions. Prevention of bacteremia can be mediated by antibodies in the range of 0.20 to 0.35 µg of antibody as measured by enzyme-linked immunosorbent assay (ELISA). However, prevention of pneumonia, otitis media, and nasopharyngeal carriage may require levels 10 times higher.7,8",40,Antibody,Antibody,1.0
Principle 2: The Mechanism of Protection by Vaccination Is Not Necessarily the Same Mechanism as Recovery From Infection,4,Vaccines,Vaccines,1.0
"The level of antibodies that protect against measles has been defined. A level of 120 mIU of antibody measured by ELISA indicates protection against clinical measles and infection.9 A level between 200 and 1000 mIU confers protection against measles disease, but not always against infection as indicated by antibody rises; a level of 1000 mIU does provide protection even against subclinical infection. However, vaccinated B-cell– deficient humans do recover from disease, whereas T-cell– deficient humans may suffer continued viremia leading to serious and fatal measles. It has been shown in monkeys that the CD8+ T cells specific for measles are required to suppress viremia.10",33,Alphavirus,Alphavirus,1.0
"The poxviruses provide another example. An individual given vaccinia virus requires both B and T cells to overcome the replicating virus and to become immune. However, in a previously vaccinated person only neutralizing antibodies at levels between 1/20 and 1/32 are required for protection, although CD8+ T-cell responses are helpful in the absence of antibodies. Inasmuch as antibody titers decline by 20 years postvaccination, the presence of antipoxvirus T cells enables the vaccinee to have a mild secondary infection in case of exposure.11–13",27,Immunity,Immunity,1.0
35,35,35,35,1.0
Principle 3: A Large Challenge Dose Can Overcome Immunity,4,Vaccines,Vaccines,1.0
