Document,Topic,Auto_Label,Descriptive_Label,Probability
Evolution of Adjuvants Across the Centuries,43,Adjuvants,Adjuvants – Adju,1.0
Nathalie Garçon and Martin Friede,-1,Noise / Outlier,Noise / Outlier,0.0
"Adjuvants are substances that are added to vaccine antigens to enhance and modulate the immunogenicity of the antigen. The first adjuvants developed focused on increasing antibody responses, and this has often been sufficient for the vaccines considered. During the last 2 decades, however, it has been realized that simply increasing antibody responses is not always sufficient for candidate vaccines to be effective. It has been observed that adjuvants can be used very effectively to:",1,Vaccines,Vaccines – Adjuvants,1.0
"provide a strong priming response in naïve populations, effectively reducing the number of doses required to induce protection.",16,Immune,Immune – Immunity,1.0
increase the duration of the immune response.,16,Immune,Immune – Immunity,1.0
"enhance specific arms of the immune response such as cell- mediated immunity (CMI), a critical target for many of the remaining infectious diseases for which we do not have vaccines.",16,Immune,Immune – Immunity,0.8036287566907796
"increase the breadth of the immune response to variable antigens, enabling broader cross-protection.",16,Immune,Immune – Immunity,1.0
"enhance the immune response in poorly responsive populations, such as elderly and immunosuppressed populations.",16,Immune,Immune – Immunity,0.905776129982202
allow for dose sparing of antigens where antigen supply is limited.,16,Immune,Immune – Immunity,0.905776129982202
"Generally speaking, adjuvants are useful for antigens such as inactivated, subunit, and recombinant proteins, which can lose, during the purification process, some of the immunologi- cal information present in the pathogen that are needed to trigger an immune response. They have not yet been required for live attenuated vaccines, which carry the necessary immune- stimulating signals themselves. As discussed later, however, some preliminary research suggests that adjuvants can have an effect on live vaccines as well.",1,Vaccines,Vaccines – Adjuvants,1.0
CHANCE AND NECESSITY: THE DISCOVERY OF ADJUVANTS,27,Adjuvants,Adjuvants – Categorization,1.0
"The use of adjuvants has been known for more than a century, and it is only recently that their mechanism of action was elucidated, in part owing to the progress in microbiology and immunology. The first recorded observation of immune potentiation by “adjuvants” is probably that of Coley, who in 1893 observed that administration of killed bacteria (Coley toxins) could in some cases cure certain forms of cancer. It was only in the 1990s that it was determined that this effect was the result of immune stimulation mediated by bacterial DNA. From there on, the specific oligonucleotide sequences that could stimulate the immune response and enhance it to a coadministered antigen were discovered.",1,Vaccines,Vaccines – Adjuvants,1.0
"It took another 2 decades to recognize the usefulness of adjuvants to enhance humoral immunity. In 1925, Ramon1 observed that administering diphtheria toxoid to horses with a variety of substances, including starch, plant extracts, or fish oils, substantially enhanced the antibody response to the toxoid. A year later, Glenny2 observed a similar effect with aluminum potassium sulfate, or alum. Alum was used there- after as an adjuvant for numerous human vaccines, and to this",-1,Noise / Outlier,Noise / Outlier,0.0
"day, other aluminum salts, in the form of aluminum oxyhy- droxide or hydroxyphosphate, are the most widely used adju- vants in human vaccines. The starch and fish oils shown by Ramon to act as adjuvants have, in recent decades, been tested in vaccines in the form of inulin and squalene, respectively.",-1,Noise / Outlier,Noise / Outlier,0.0
"During the 80 years following the first use of aluminum salts as adjuvants, a wide variety of substances were tested as adjuvants, but many of them failed to be accepted for human use. In the 1940s, Jules Freund developed a water-in-oil emul- sion, the Freund adjuvant, in which the vaccine antigen is emulsified as water droplets in a continuous mineral oil phase, containing killed mycobacterium (Freund complete adjuvant) or not (Freund incomplete adjuvant). The latter was briefly used for a commercial influenza vaccine in the United Kingdom in the 1960s, but was soon withdrawn owing to unacceptable reactogenicity. This, however, led to the develop- ment of oil-in-water emulsions, in which oil droplets are present in a continuous aqueous phase.",3,Squalene,Squalene,0.24998043960892014
"The first oil-in-water emulsions were based on a nonme- tabolizable oil (squalane) and replaced later with metaboliz- able oils (squalene), as opposed to mineral oils as in the original Freund adjuvant. However, a water-in-oil emulsion similar in structure to the Freund adjuvant has been introduced in a cancer vaccine, using mineral oil with a higher degree of purity that allows for use in human vaccine candidates.",3,Squalene,Squalene,0.44807436178807053
"In the 1970s liposomes and virosomes that adsorb or encapsulate antigen were developed. Liposomes consist of lipid layers that form nanospheres or microspheres and can encapsulate or integrate antigens into their membranes. Several licensed vaccines contain virosomes, which are recon- stituted empty envelopes of influenza viruses similar in struc- ture to liposomes.",26,Virosomes,Virosomes,0.40314204121414654
A TURNING POINT: BETTER UNDERSTANDING OF IMMUNOLOGY AND ITS IMPACT ON THE DEVELOPMENT OF ADJUVANTS,1,Vaccines,Vaccines – Adjuvants,1.0
