Document,Topic,Auto_Label,Descriptive_Label,Probability
Vaccine Immunology,16,Vaccines,Vaccines – Immunology,1.0
Claire-Anne Siegrist,58,Vaccinology,Vaccinology,0.9911870813348473
"To generate vaccine-mediated protection is a complex chal- lenge. Currently available vaccines have largely been devel- oped empirically, with little or no understanding of how they activate the immune system. Their early protective efficacy is primarily conferred by the induction of antigen-specific anti- bodies (Box 2.1). However, there is more to antibody- mediated protection than the peak of vaccine-induced antibody titers. The quality of such antibodies (e.g., their avidity, specificity, or neutralizing capacity) has been identi- fied as a determining factor in efficacy. Long-term protection requires the persistence of vaccine antibodies above protective thresholds and/or the maintenance of immune memory cells capable of rapid and effective reactivation with subsequent microbial exposure. The determinants of immune memory induction, as well as the relative contribution of persisting antibodies and of immune memory to protection against spe- cific diseases, are essential parameters of long-term vaccine efficacy.",-1,Noise / Outlier,Noise / Outlier,0.0
The predominant role of B cells in the efficacy of current,21,Cell,Cell,1.0
"vaccines should not overshadow the importance of T-cell responses: T cells are essential to the induction of high-affinity antibodies and immune memory, directly contribute to the protection conferred by current vaccines such as bacille Calmette-Guérin (BCG), may play a more critical role than previously anticipated for specific diseases like pertussis, and will be the prime effectors against novel vaccine targets with predominant intracellular localization such as tuberculosis.",33,Immunisation,Immunisation,0.9554006011936952
"New methods have emerged allowing the assessment of a growing number of vaccine-associated immune parameters, including in humans. This development raises new questions about the optimal markers to assess and their correlation with vaccine-induced protection. The identification of mechanistic immune correlates—or at least surrogates—of vaccine efficacy is a major asset for the development of new vaccines or the optimization of immunization strategies using available vac- cines. Thus, their determination generates a considerable amount of interest. During the last decade, the increased awareness of the complexity of the immune system and its determinants, including at the host genetic level, indicated that using system biology approaches to assess how various processes and networks interact in response to immunization could prove more illustrative than trying to isolate and char- acterize a few components of vaccine responses.1 Delineating the specific molecular signatures of vaccine immunogenicity is beginning to highlight novel correlates of protective immu- nity and better explain the heterogeneity of vaccine responses in a population. The tailoring of vaccine strategies for specific vulnerable populations, including very young, elderly, and immunosuppressed populations, also largely relies on a better understanding of what supports or limits vaccine efficacy under special circumstances—at the population and individ- ual levels. Lastly, the exponential development of new vaccines raises many questions that are not limited to the targeted diseases and the potential impacts of their prevention, but that address the specific and nonspecific impacts of such vaccines on the immune system and, thus, on health in general. These immune-related concerns have largely spread into the population, and questions related to the immunological safety of vaccines—that is, their capacity for triggering",28,Vaccine,Vaccine – Immunosuppressed,1.0
16,19,Pdf,Pdf,0.2097153825784926
"non–antigen-specific responses possibly leading to allergy, autoimmunity, or even premature death—are being raised. Certain “off-targets effects” of vaccines have also been recog- nized and call for studies to quantify their impact and identify the mechanisms at play. The objective of this chapter is to extract from the complex and rapidly evolving field of immu- nology the main concepts that are useful to better address these important questions.",16,Vaccines,Vaccines – Immunology,0.8777885776128551
HOW DO VACCINES MEDIATE PROTECTION?,-1,Noise / Outlier,Noise / Outlier,0.0
"Vaccines protect by inducing effector mechanisms (cells or molecules) capable of rapidly controlling replicating patho- gens or inactivating their toxic components. Vaccine-induced immune effectors (Table 2.1) are essentially antibodies— produced by B lymphocytes—capable of binding specifically to a toxin or a pathogen.2 Other potential effectors are cyto- toxic CD8+ T lymphocytes that may limit the spread of infec- tious agents by recognizing and killing infected cells or secreting specific antiviral cytokines and CD4+ T-helper (Th) lymphocytes. These Th cells may contribute to protection through cytokine production and provide support to the gen- eration and maintenance of B and CD8+ T-cell responses. Effector CD4+ Th cells were initially subdivided into T-helper 1 (Th1) or T-helper 2 (Th2) subsets depending on their main cytokine production (interferon-γ or interleukin [IL]-4), respectively. This dichotomy became outdated as Th cells were increasingly shown to include a large number of subsets with distinct cytokine-producing and homing capacities (see Table 2.1).3 A recently identified critical subset of vaccine-induced CD4+ Th cells are follicular T-helper (Tfh) cells: they are spe- cially equipped and positioned in the lymph nodes to support potent B-cell activation and differentiation into antibody- secreting-cells4 and were identified as directly controlling anti- body responses and mediating adjuvanticity.5–7 Another important subset are T-helper 17 (Th17) cells which essen- tially defend against extracellular bacteria that colonize the skin and mucosa, recruiting neutrophils and promoting local inflammation.8,9 These effectors are controlled by regulatory T cells (Tregs) involved in maintaining immune tolerance.10 Most antigens and vaccines trigger B- and T-cell responses, such that there is no rationale in opposing vaccines favoring antibody production (“humoral immunity”) and T-cell responses (“cellular immunity”). In addition, CD4+ T cells are required for most antibody responses, whereas antibodies exert significant influences on T-cell responses to intracellular pathogens.11",50,Cytokines,Cytokines – Vaccines,1.0
What Are the Main Effectors of Vaccine Responses?,65,Vaccine,Vaccine – Immune,1.0
The nature of the vaccine exerts a direct influence on the type of immune effectors that are elicited and that mediate protec- tive efficacy (Table 2.2).,28,Vaccine,Vaccine – Immunosuppressed,0.5719903795754941
"Capsular polysaccharides (PSs) elicit B-cell responses in what is classically reported as a T-independent manner.12 The conjugation of bacterial PS to a protein carrier (e.g., glyco- conjugate vaccines) provides foreign peptide antigens that are presented to the immune system and, thus, recruit",0,Vaccine,Vaccine – Polysaccharides,1.0
BOX 2.1 Main Immunological Definitions,5,Malaria,Malaria,0.1472730365201772
ADJUVANT,18,Adjuvants,Adjuvants,1.0
"Agents that increase the stimulation of the immune system by enhancing antigen presentation (depot formulation, delivery systems) and/or by providing costimulation signals (immunomodulators). Aluminum salts are most often used in today’s vaccines.",-1,Noise / Outlier,Noise / Outlier,0.0
"AFFINITY, AVIDITY",4,Vaccine,Vaccine – Antibody,0.3837382199674663
"Antibody affinity refers to the tendency of an antibody to bind to a specific epitope at the surface of an antigen; that is, to the strength of the interaction. Avidity is the sum of the epitope- specific affinities for a given antigen. It directly relates to its function.",4,Vaccine,Vaccine – Antibody,0.5118226802225049
AFFINITY MATURATION,-1,Noise / Outlier,Noise / Outlier,0.0
